ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12793378,JF355848,8/13/2022 22:45,118XX S SANGAMON ST,560,ASSAULT,SIMPLE,STREET,FALSE,TRUE,524,5,34,53,08A,1172121,1826361,2022,1/3/2023 15:46,41.67897694,-87.64560303,"(41.678976937, -87.645603032)"
12793013,JF355626,8/13/2022 18:15,080XX S CICERO AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,834,8,18,70,6,1145815,1850887,2022,1/3/2023 15:46,41.74681704,-87.74127748,"(41.746817035, -87.74127748)"
12792891,JF355420,8/13/2022 14:00,061XX N KENMORE AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,2433,24,48,77,6,1168126,1940989,2022,1/3/2023 15:46,41.99361376,-87.65692222,"(41.993613762, -87.656922219)"
12792754,JF355237,8/13/2022 1:30,046XX S CALUMET AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,215,2,3,38,7,1179211,1874428,2022,1/3/2023 15:46,41.81072018,-87.61818868,"(41.810720178, -87.618188676)"
12793692,JF356436,8/12/2022 23:30,038XX W 69TH PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,833,8,13,65,14,1151869,1858239,2022,1/3/2023 15:46,41.7668757,-87.71890136,"(41.766875699, -87.718901363)"
12794570,JF357352,8/12/2022 19:15,044XX S INDIANA AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,215,2,3,38,7,1178342,1875622,2022,1/3/2023 15:46,41.81401642,-87.62133977,"(41.814016416, -87.621339769)"
12792031,JF354526,8/12/2022 18:20,017XX N CICERO AVE,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,2533,25,37,25,08A,1144128,1911290,2022,1/3/2023 15:46,41.91260336,-87.74594583,"(41.912603364, -87.745945827)"
12792926,JF355494,8/12/2022 17:00,073XX N GREENVIEW AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2423,24,49,1,6,1165021,1948902,2022,1/3/2023 15:46,42.01539393,-87.66811745,"(42.015393931, -87.668117448)"
12791248,JF353513,8/11/2022 23:36,059XX S SPAULDING AVE,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,822,8,23,66,08B,1155414,1864857,2022,1/3/2023 15:46,41.78496626,-87.70573036,"(41.784966263, -87.705730359)"
12790997,JF353231,8/11/2022 18:00,073XX S MAY ST,051A,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE,FALSE,TRUE,733,7,17,68,04A,1169922,1856159,2022,1/3/2023 15:46,41.76079497,-87.65279005,"(41.76079497, -87.65279005)"
12790864,JF352960,8/11/2022 15:15,056XX N RIDGE AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,FALSE,FALSE,2013,20,48,77,04A,1166768,1937771,2022,1/3/2023 15:46,41.98481282,-87.66201025,"(41.984812816, -87.662010249)"
12790652,JF352659,8/11/2022 10:00,094XX S STATE ST,810,THEFT,OVER $500,STREET,FALSE,TRUE,634,6,9,49,6,1177962,1842197,2022,1/3/2023 15:46,41.72230323,-87.62374513,"(41.722303228, -87.623745129)"
12790214,JF352227,8/10/2022 22:55,017XX W KINZIE ST,031A,ROBBERY,ARMED - HANDGUN,STREET,FALSE,FALSE,1215,12,27,24,3,1164748,1902774,2022,1/3/2023 15:46,41.88882235,-87.67043486,"(41.888822354, -87.670434861)"
12790101,JF352204,8/10/2022 22:00,023XX E 79TH ST,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,414,4,7,46,08A,1193033,1853042,2022,1/3/2023 15:46,41.75170873,-87.56818982,"(41.751708729, -87.568189818)"
12818261,JF385387,8/10/2022 21:35,013XX S KOMENSKY AVE,880,THEFT,PURSE-SNATCHING,ALLEY,FALSE,FALSE,1011,10,24,29,6,1149595,1893535,2022,1/3/2023 15:46,41.86377724,-87.7263227,"(41.863777237, -87.7263227)"
12790334,JF352436,8/10/2022 21:00,088XX S BUFFALO AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,424,4,10,46,6,1199581,1846896,2022,1/3/2023 15:46,41.73468137,-87.54440149,"(41.73468137, -87.544401489)"
12791059,JF352415,8/10/2022 17:22,057XX N WINTHROP AVE,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,2022,20,48,77,6,1167830,1938224,2022,1/3/2023 15:46,41.98603295,-87.65809121,"(41.986032951, -87.658091212)"
12790581,JF352712,8/10/2022 16:00,062XX S ARTESIAN AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,825,8,16,66,6,1161110,1863210,2022,1/3/2023 15:46,41.78033068,-87.68489178,"(41.780330681, -87.684891779)"
12789985,JF351464,8/10/2022 9:10,035XX N SHEFFIELD AVE,820,THEFT,$500 AND UNDER,SIDEWALK,FALSE,FALSE,1924,19,44,6,6,1168976,1923757,2022,1/3/2023 15:46,41.94631018,-87.65429799,"(41.94631018, -87.654297987)"
12789939,JF351874,8/10/2022 0:00,077XX S JEFFERY BLVD,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,414,4,8,43,08B,1190878,1854084,2022,1/3/2023 15:46,41.75462039,-87.57605314,"(41.754620386, -87.576053139)"
12788765,JF350565,8/9/2022 16:14,074XX S ASHLAND AVE,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,735,7,17,67,08A,1166969,1855493,2022,1/3/2023 15:46,41.75903097,-87.66363196,"(41.759030974, -87.66363196)"
12789052,JF350580,8/9/2022 16:07,014XX W ELMDALE AVE,325,ROBBERY,VEHICULAR HIJACKING,STREET,TRUE,FALSE,2013,20,48,77,3,1165640,1939961,2022,1/3/2023 15:46,41.99084642,-87.66609614,"(41.990846423, -87.666096144)"
12790380,JF352517,8/9/2022 16:00,027XX N PULASKI RD,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2524,25,31,22,6,1149258,1917739,2022,1/3/2023 15:46,41.93020206,-87.72693181,"(41.93020206, -87.726931811)"
12788778,JF350628,8/9/2022 9:00,033XX W 13TH ST,890,THEFT,FROM BUILDING,LIBRARY,FALSE,FALSE,1021,10,24,29,6,1154098,1893840,2022,1/3/2023 15:46,41.86452563,-87.70978419,"(41.864525633, -87.709784193)"
12794339,JF348396,8/7/2022 19:00,021XX W NORTH AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1434,14,2,24,6,1161874,1910624,2022,1/3/2023 15:46,41.91042381,-87.68076999,"(41.910423808, -87.68076999)"
12814961,JF381522,8/5/2022 10:00,029XX S SHIELDS AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,914,9,11,34,6,1174437,1885295,2022,1/3/2023 15:46,41.84064786,-87.63537531,"(41.840647863, -87.635375307)"
12828387,JF396622,8/1/2022 0:25,026XX W 60TH ST,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,825,8,16,66,6,1159959,1864777,2022,1/3/2023 15:46,41.78465449,-87.68906852,"(41.784654487, -87.689068516)"
12802052,JF366215,7/29/2022 12:31,060XX N SHERIDAN RD,810,THEFT,OVER $500,APARTMENT,FALSE,FALSE,2433,24,48,77,6,1168537,1940244,2022,1/3/2023 15:46,41.99156055,-87.6554321,"(41.991560549, -87.655432099)"
12795133,JF357447,7/28/2022 14:05,118XX S Avenue O,860,THEFT,RETAIL THEFT,DRUG STORE,FALSE,FALSE,433,4,10,55,6,1200937,1827157,2022,1/3/2023 15:46,41.68048166,-87.54009995,"(41.680481664, -87.540099953)"
12801536,JF365620,7/27/2022 19:00,037XX N HARLEM AVE,560,ASSAULT,SIMPLE,RESTAURANT,FALSE,FALSE,1632,16,38,17,08A,1127407,1923972,2022,1/3/2023 15:46,41.94770217,-87.80708973,"(41.947702172, -87.807089728)"
12803189,JF367667,7/23/2022 12:00,020XX N KENNETH AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,2522,25,36,20,6,1146389,1913269,2022,1/3/2023 15:46,41.91799115,-87.7375889,"(41.917991147, -87.737588902)"
12823023,JF390703,7/19/2022 15:27,030XX W 40TH ST,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,921,9,12,58,6,1156709,1877946,2022,1/3/2023 15:46,41.82085821,-87.70062903,"(41.820858213, -87.700629031)"
12822956,JF390970,7/15/2022 12:00,105XX S TORRENCE AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,434,4,10,51,6,1195527,1835706,2022,1/3/2023 15:46,41.704076,-87.55962168,"(41.704075995, -87.559621678)"
